Net generation United States all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.TSN-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202111&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin=
15:26:58 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
Dec 2016,345336.87453,118746.8419,96363.59628,71662.429,22527.76456,23145.52474,3590.66861
Nov 2016,297056.26276,86940.46241,93941.8345,65178.776,18808.26528,19405.64211,4023.9887
Oct 2016,312939.72788,99193.94367,102897.98607,60733.343,17338.85654,20335.38978,4743.28769
Sep 2016,351479.33284,114137.76825,125602.73981,65448.176,16367.68403,16403.64017,5370.44767
Aug 2016,409695.03402,135634.73331,154759.67321,71526.405,19569.54914,13589.32615,5910.82805
Jul 2016,411881.0731,136316.43397,151553.87196,70349.347,21455.32093,17618.35712,5945.07716
Jun 2016,367775.77376,116034.38414,131395.22913,67175.324,23236.86739,16303.4413,5401.26493
May 2016,316778.65137,81694.51025,110430.1923,66576.493,25486.38143,18847.89867,5304.17484
Apr 2016,292888.74563,72112.8619,98875.9473,62731.845,25878.02878,20799.30345,4582.61853
Mar 2016,304384.23689,72172.52681,103889.93756,66148.894,27389.8772,21939.40933,4142.59215
Feb 2016,313680.3803,92704.80797,98552.17908,65638.141,24139.01548,20138.2278,3386.13613
Jan 2016,352713.71943,113459.37975,110043.74673,72524.775,25614.54233,18466.40151,2465.40732
Dec 2015,324420.69959,89495.07284,109776.67885,69633.664,23165.56195,20098.37277,2483.85893
Nov 2015,300646.80726,87227.13603,102236.25483,60263.941,19337.83088,19681.71564,2711.70957
Oct 2015,312105.70168,96758.50415,110005.03903,60570.921,16630.40155,16380.03853,3107.28733
Sep 2015,350115.31729,117985.6322,123035.92238,66476.372,16094.1224,13971.56651,3546.77556
Aug 2015,392109.58745,134670.3089,139083.7544,72415.352,19122.10511,13080.02756,4155.60157
Jul 2015,400412.40259,139099.86855,141119.08134,71412.176,21014.22144,13675.44937,4113.74514
Jun 2015,362403.00441,125673.11366,121477.74922,68516.165,20414.084,13421.26619,3965.61172
May 2015,322080.75837,104584.52668,101516.3545,65826.525,20125.4156,17151.34131,3897.98556
Apr 2015,294127.63929,88989.1425,92805.99824,59784.495,22470.97723,17867.14921,3642.64641
Mar 2015,324186.09214,108487.53856,99422.71998,64546.799,24280.90476,15307.92894,3205.83426
Feb 2015,334470.60698,126976.83198,91315.16471,63461.493,22286.07601,14921.54534,2299.31836
Jan 2015,360449.2625,132450.52066,101687.39262,74269.974,24138.3839,15162.14633,1901.79647
Dec 2014,337950.59111,124620.11616,91037.8204,73362.548,22328.78862,14711.24947,1797.81256
Nov 2014,317489.02094,119127.43937,84353.51326,65140.185,18624.92296,18866.92881,2171.44148
Oct 2014,314516.32764,111295.95754,97683.01576,62390.988,17159.21225,14507.93111,2681.80098
